,lat,lon,tavg,tmin,tmax,prcp,wspd,pres,tsun
2872,55.74782780646777,49.19114542391853,4.541666666666668,-0.2250000000000001,9.3,45.666666666666664,,1016.7583333333336,9655.0
2873,59.83154752354877,30.22076926469374,5.099999999999999,1.8416666666666668,8.333333333333334,51.75,,1013.2083333333335,8180.0
2874,54.61520801406223,39.75058605262493,4.95,0.8000000000000002,9.125,46.01666666666667,,,
2875,56.84087736858301,35.934269857335245,,,,53.083333333333336,,,
2876,55.88254700937022,37.6386093790297,5.091666666666668,1.2250000000000003,8.941666666666666,57.333333333333336,,1015.7583333333333,
2877,55.78883599397003,49.22515092821659,4.541666666666668,-0.2250000000000001,9.3,45.666666666666664,,1016.7583333333336,9655.0
2878,51.71270038903836,39.194057185826026,6.25,1.8833333333333337,10.641666666666666,47.833333333333336,,1017.1249999999999,9485.0
2879,55.11250321833396,82.93686521390346,1.2749999999999992,-3.9416666666666664,6.466666666666668,35.14166666666666,,,
2880,55.78829235916805,49.229968278449846,4.541666666666668,-0.2250000000000001,9.3,45.666666666666664,,1016.7583333333336,9655.0
2881,51.81166463245915,55.09524669106657,4.866666666666666,-0.3749999999999994,10.108333333333333,31.0,,1019.2666666666668,10885.0
2882,55.58633684331304,37.66615532607536,5.091666666666668,1.2250000000000003,8.941666666666666,57.333333333333336,,1015.7583333333333,
2883,51.668644652002925,39.19545410794496,6.25,1.8833333333333337,10.641666666666666,47.833333333333336,,1017.1249999999999,9485.0
2884,55.83201576226475,37.64146256597417,5.091666666666668,1.2250000000000003,8.941666666666666,57.333333333333336,,1015.7583333333333,
2885,56.296835095823056,44.02780900821831,4.333333333333333,0.641666666666666,8.041666666666666,51.050000000000004,,,
2886,54.99401000135192,73.24347186820698,1.5249999999999992,-3.4833333333333343,6.541666666666667,31.666666666666668,,1018.3916666666668,10805.0
2887,53.39856952074739,58.98429814701745,,,,31.575000000000003,,,
2888,55.73425134594133,49.09873788871801,4.541666666666668,-0.2250000000000001,9.3,45.666666666666664,,1016.7583333333336,9655.0
